id,station_id,dist
CA003065305,71124,0.29476047
CA003065998,71069,209.72118162
CA003067372,71930,830.71118941
CA003072655,71933,414.13884121
CA003072920,71940,423.68170475
CA003073140,71066,413.49916335
CA003075040,71068,478.08065375
CA003081680,71120,425.2387416
CA004015328,71864,367.29777977
CA004016560,71863,435.47773348
CA004018642,71511,366.95796039
CA004019035,71865,367.21871977
CA004019073,71138,433.17714348
CA004022359,71450,434.22811579
CA004024714,71455,0.43723
CA004028038,71870,668.88729345
CA004038412,71137,439.33218958
CA004043920,71129,895.16199986
CA004045605,71876,366.73253895
CA004046884,71510,432.52082033
CA004056240,71869,960.87849626
CA004057170,71866,879.73517186
CA004058420,71136,431.53398327
CA004060981,71077,152.36692707
CA004061861,71920,198.82716523
CA004064149,71922,692.95407767
CA004065058,71125,791.28981411
CA004067723,71133,367.14878822
CA004067795,71132,188.62263138
CA004068340,71076,412.33031359
CA004075518,71130,367.48602784
CA005010481,71140,366.84734082
CA005010547,71170,0.27717889
CA005011721,71447,438.85609389
CA005012320,71851,236.84534242
CA005012324,72851,333.84463964
CA005021220,71441,439.32447541
CA005022120,74148,212.8912341
CA005022129,71148,436.91169335
CA005023222,71852,262.96961783
CA005030200,71859,224.94894205
CA005030983,71445,897.37513986
CA0050309J6,71442,367.34529174
CA005031110,71858,428.28381954
CA005032162,71448,436.18732914
CA005040681,72855,0.0
CA00504K80K,71443,431.23908546
CA005052880,71867,366.63292622
CA005060595,71913,313.84340232
CA005060999,71912,213.03110376
CA005061646,71078,883.51509272
CA005062922,71079,438.67827217
CA00506B047,71141,638.38588259
CA00506B0M7,74141,590.09925954
CA006010738,71848,426.77432472
CA006014350,71846,431.03403951
CA006016970,71854,417.26054166
CA006019550,71434,423.03727371
CA006020379,71748,242.31404755
CA006034075,71850,274.30734329
CA006037775,71842,366.94464415
CA006041221,71433,443.74724721
CA006048260,71749,440.83815634
CA006049095,71435,439.38576903
CA006059408,71738,772.94396569
CA00605DJ25,71460,447.12301847
CA006068153,71730,490.79811461
CA006072223,71735,0.14252106
CA006073975,71831,438.09408736
CA006075425,71836,367.72112755
CA006075543,71832,237.68863637
CA006085700,71731,441.03762245
CA006092920,72733,447.39350992
CA006092930,71733,447.63027183
CA006104142,71620,366.39625412
CA006106000,71628,448.73350331
CA006106396,71625,255.83539554
CA006107087,71290,0.37258506
CA006110552,71436,451.55032477
CA006110967,71632,256.64325425
CA006111792,71270,262.54463612
CA006115524,71630,366.44472868
CA006119452,71438,449.46875858
CA006119500,71633,0.12083277
CA006121912,71439,449.18300016
CA006122847,71261,452.90899255
CA006130681,71273,0.26553607
CA006136699,71432,268.09081496
